Printed on: 8/9/2021 7:17:48 AM
Date	Part number	Serial number	Status	Wave.	Fiber IL	Refl.	IL A	Refl.A	IL B	Refl.B
8/6/2021 4:08:19 PM	temptest	060821-0061	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:09:20 PM	temptest	060821-0062	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:09:20 PM	temptest	060821-0062	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:10:21 PM	temptest	060821-0063	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:10:21 PM	temptest	060821-0063	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:11:22 PM	temptest	060821-0064	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:11:22 PM	temptest	060821-0064	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:12:23 PM	temptest	060821-0065	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:12:23 PM	temptest	060821-0065	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:13:24 PM	temptest	060821-0066	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:13:24 PM	temptest	060821-0066	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:14:25 PM	temptest	060821-0067	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:14:25 PM	temptest	060821-0067	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:15:27 PM	temptest	060821-0068	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:15:27 PM	temptest	060821-0068	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 4:16:28 PM	temptest	060821-0069	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
